ISO,Country,Origination Prefixes,Destination Prefixes,Description,Price / min
AD,Andorra,,376,Trunking Outbound Minute - Andorra,0.04300
AD,Andorra,,3763,Trunking Outbound Minute - Andorra - Mobile,0.29000
AD,Andorra,,3764,Trunking Outbound Minute - Andorra - Mobile,0.29000
AD,Andorra,,3766,Trunking Outbound Minute - Andorra - Mobile,0.29000
AE,United Arab Emirates,,971,Trunking Outbound Minute - United Arab Emirates,0.25330
AE,United Arab Emirates,,9715,Trunking Outbound Minute - United Arab Emirates - Mobile,0.23860
AF,Afghanistan,,93,Trunking Outbound Minute - Afghanistan,0.36400
AF,Afghanistan,,9370,Trunking Outbound Minute - Afghanistan - Mobile,0.41100
AF,Afghanistan,,9372,Trunking Outbound Minute - Afghanistan - Mobile,0.41100
AF,Afghanistan,,9375,Trunking Outbound Minute - Afghanistan - Mobile,0.41100
AF,Afghanistan,,9376,Trunking Outbound Minute - Afghanistan - Mobile,0.41100
AF,Afghanistan,,9377,Trunking Outbound Minute - Afghanistan - Mobile,0.41100
AF,Afghanistan,,9378,Trunking Outbound Minute - Afghanistan - Mobile,0.41100
AF,Afghanistan,,9379,Trunking Outbound Minute - Afghanistan - Mobile,0.41100
AG,Antigua and Barbuda,,1268,Trunking Outbound Minute - Antigua & Barbuda,0.37400
AG,Antigua and Barbuda,,1268464,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,1268716,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,1268717,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,1268718,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,1268719,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,126872,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,1268732,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,1268734,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,1268736,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,1268764,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,126877,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AG,Antigua and Barbuda,,126878,Trunking Outbound Minute - Antigua & Barbuda - Mobile,0.48600
AI,Anguilla,,1264,Trunking Outbound Minute - Anguilla,0.37300
AI,Anguilla,,1264235,Trunking Outbound Minute - Anguilla - Mobile - Other,0.41600
AI,Anguilla,,1264469,Trunking Outbound Minute - Anguilla - Mobile - Other,0.41600
AI,Anguilla,,1264476,Trunking Outbound Minute - Anguilla - Mobile - Other,0.41600
AI,Anguilla,,1264536,Trunking Outbound Minute - Anguilla - Mobile - Other,0.41600
AI,Anguilla,,1264537,Trunking Outbound Minute - Anguilla - Mobile - Other,0.41600
AI,Anguilla,,1264538,Trunking Outbound Minute - Anguilla - Mobile - Other,0.41600
